observation_date,USACSCICP02STSAM_PCH
1991-04-01,7.69231
1991-07-01,2.35343
1991-10-01,-13.02945
1992-01-01,-1.53061
1992-04-01,11.54027
1992-07-01,-3.58952
1992-10-01,9.32982
1993-01-01,4.88782
1993-04-01,-5.50038
1993-07-01,-6.14389
1993-10-01,8.57020
1994-01-01,10.67039
1994-04-01,-0.86023
1994-07-01,-1.59075
1994-10-01,2.64510
1995-01-01,1.28847
1995-04-01,-2.82684
1995-07-01,1.63638
1995-10-01,-3.61361
1996-01-01,0.77951
1996-04-01,1.10498
1996-07-01,3.71586
1996-10-01,2.77483
1997-01-01,1.53795
1997-04-01,4.03904
1997-07-01,2.71756
1997-10-01,-0.81885
1998-01-01,2.73099
1998-04-01,-0.83461
1998-07-01,-3.21075
1998-10-01,-3.18842
1999-01-01,5.68864
1999-04-01,0.31478
1999-07-01,-0.31379
1999-10-01,-0.59802
2000-01-01,4.62316
2000-04-01,-1.24093
2000-07-01,-1.19520
2000-10-01,-3.28787
2001-01-01,-11.22513
2001-04-01,-1.37284
2001-07-01,-2.67400
2001-10-01,-3.87655
2002-01-01,9.39703
2002-04-01,1.03793
2002-07-01,-7.26178
2002-10-01,-3.93430
2003-01-01,-4.61233
2003-04-01,11.62985
2003-07-01,0.03734
2003-10-01,2.98619
2004-01-01,6.56037
2004-04-01,-4.76193
2004-07-01,2.42859
2004-10-01,-1.81314
2005-01-01,0.21307
2005-04-01,-4.11055
2005-07-01,-2.99334
2005-10-01,-5.79049
2006-01-01,7.88517
2006-04-01,-5.77212
2006-07-01,0.27844
2006-10-01,10.03569
2007-01-01,-0.28839
2007-04-01,-5.74836
2007-07-01,-1.34255
2007-10-01,-9.60341
2008-01-01,-5.93549
2008-04-01,-18.24417
2008-07-01,8.78077
2008-10-01,-11.05398
2009-01-01,1.04046
2009-04-01,17.04805
2009-07-01,0.29325
2009-10-01,2.58285
2010-01-01,5.27315
2010-04-01,0.09026
2010-07-01,-7.61948
2010-10-01,4.34358
2011-01-01,2.52573
2011-04-01,-1.64233
2011-07-01,-16.97589
2011-10-01,8.60335
2012-01-01,16.51235
2012-04-01,1.05960
2012-07-01,-1.74749
2012-10-01,5.91374
2013-01-01,-3.44248
2013-04-01,6.52173
2013-07-01,-0.12244
2013-10-01,-5.68043
2014-01-01,5.19930
2014-04-01,2.34762
2014-07-01,0.16096
2014-10-01,8.19605
2015-01-01,6.38695
2015-04-01,-1.32636
2015-07-01,-3.71417
2015-10-01,0.62453
2016-01-01,0.29208
2016-04-01,0.91008
2016-07-01,-2.23665
2016-10-01,3.02583
2017-01-01,4.47708
2017-04-01,-0.89134
2017-07-01,-1.31443
2017-10-01,3.43500
2018-01-01,0.57607
2018-04-01,-0.60647
2018-07-01,-0.27117
2018-10-01,0.06798
2019-01-01,-3.73643
