observation_date,MSACSR_PCH
1991-04-01,-13.41463
1991-07-01,0.00000
1991-10-01,-10.32864
1992-01-01,-15.18325
1992-04-01,9.25926
1992-07-01,-12.42938
1992-10-01,0.00000
1993-01-01,3.87097
1993-04-01,-5.59006
1993-07-01,3.28947
1993-10-01,-8.91720
1994-01-01,9.79021
1994-04-01,6.36943
1994-07-01,10.17964
1994-10-01,0.54348
1995-01-01,12.97297
1995-04-01,-10.04785
1995-07-01,-4.25532
1995-10-01,8.33333
1996-01-01,-8.20513
1996-04-01,0.00000
1996-07-01,-11.17318
1996-10-01,-0.62893
1997-01-01,-15.82278
1997-04-01,3.00752
1997-07-01,-5.83942
1997-10-01,-2.32558
1998-01-01,-4.76190
1998-04-01,-2.50000
1998-07-01,4.27350
1998-10-01,-7.37705
1999-01-01,6.19469
1999-04-01,-1.66667
1999-07-01,5.93220
1999-10-01,2.40000
2000-01-01,0.78125
2000-04-01,5.42636
2000-07-01,-8.08824
2000-10-01,-5.60000
2001-01-01,-4.23729
2001-04-01,7.07965
2001-07-01,7.43802
2001-10-01,-6.15385
2002-01-01,0.81967
2002-04-01,1.62602
2002-07-01,-3.20000
2002-10-01,-0.82645
2003-01-01,5.00000
2003-04-01,-8.73016
2003-07-01,-5.21739
2003-10-01,9.17431
2004-01-01,-6.72269
2004-04-01,5.40541
2004-07-01,10.25641
2004-10-01,-4.65116
2005-01-01,4.06504
2005-04-01,0.00000
2005-07-01,4.68750
2005-10-01,7.46269
2006-01-01,20.13889
2006-04-01,8.67052
2006-07-01,10.10638
2006-10-01,-1.44928
2007-01-01,12.74510
2007-04-01,1.73913
2007-07-01,14.10256
2007-10-01,2.99625
2008-01-01,7.27273
2008-04-01,7.45763
2008-07-01,3.15457
2008-10-01,4.58716
2009-01-01,-1.46199
2009-04-01,-15.43027
2009-07-01,-18.59649
2009-10-01,-0.86207
2010-01-01,2.17391
2010-04-01,1.27660
2010-07-01,6.30252
2010-10-01,-7.50988
2011-01-01,-3.41880
2011-04-01,-11.94690
2011-07-01,-2.01005
2011-10-01,-12.82051
2012-01-01,-11.76471
2012-04-01,-4.00000
2012-07-01,-4.86111
2012-10-01,2.18978
2013-01-01,-12.14286
2013-04-01,6.50407
2013-07-01,25.19084
2013-10-01,-7.92683
2014-01-01,5.96026
2014-04-01,3.75000
2014-07-01,2.40964
2014-10-01,-5.29412
2015-01-01,-10.55901
2015-04-01,6.25000
2015-07-01,5.22876
2015-10-01,0.62112
2016-01-01,2.46914
2016-04-01,-7.22892
2016-07-01,-4.54545
2016-10-01,7.48299
2017-01-01,-0.63291
2017-04-01,0.63694
2017-07-01,8.86076
2017-10-01,-7.55814
2018-01-01,6.28931
2018-04-01,0.00000
2018-07-01,13.01775
2018-10-01,10.99476
2019-01-01,-10.84906
